job,release,days,drafter,pm,fab_hrs,stage_group,job_name
380,V606,15.550625318599538,GA,GA,2.0,COMPLETE,Brinkman - Marshall Pointe
170,181,70.59484623103009,DCR,RL,1.0,COMPLETE,Garrett -Banyan High Point
410,256,94.5143956116898,RJA,RL,70.5,COMPLETE,Lennar - Columnbine Square
410,234,77.52257994510417,RJA,RL,7.1,COMPLETE,Lennar - Columnbine Square
440,409,37.56547084619213,DEP,RL,6.0,COMPLETE,Evergreen - Outlook Green Valley Ranch
400,497,19.61802644783565,DCR,RL,11.3,COMPLETE,Mountain West Contractors - Fieldhouse (Idaho Springs)
900,413,50.51556298851852,DCR,RL,13.4,COMPLETE,Arlington - Velo Interlocken
440,421,35.56568300269676,DCR,RL,5.5,COMPLETE,Evergreen - Outlook Green Valley Ranch
999,293,93.51620067925926,RJA,WO,12.0,COMPLETE,Saddleback Bag Drop
480,510,17.553597574988427,DCR,GA,2.0,COMPLETE,Wood Partners - Alta Flatirons
340,327,71.54159920238426,DTS,DR,1.3,COMPLETE,AMLI - Littleton Village II
400,539,7.618092315509259,DCR,RL,4.0,COMPLETE,Mountain West Contractors - Fieldhouse (Idaho Springs)
440,451,34.65258310494213,CBA,RL,3.6,COMPLETE,Evergreen - Outlook Green Valley Ranch
440,270,102.65484398101852,CBA,RL,6.7,COMPLETE,Evergreen - Outlook Green Valley Ranch
170,436,29.558685066805552,DCR,RL,14.1,COMPLETE,Garrett -Banyan High Point
550,532,13.54194879980324,DCR,DR,6.5,COMPLETE,New Generation Construction - 4th St. North
900,349,77.51552128997685,DCR,RL,3.3,COMPLETE,Arlington - Velo Interlocken
390,332,77.72127443641203,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
410,559,4.623588843449074,DCR,RL,0.0,COMPLETE,Lennar - Columnbine Square
410,529,11.623504405706019,DCR,RL,1.0,COMPLETE,Lennar - Columnbine Square
380,v542,10.551740163703704,DTS,GA,1.0,COMPLETE,Brinkman - Marshall Pointe
530,403,50.540903720081026,CBA,DR,39.0,COMPLETE,Shaw - East Oak Townhomes
390,429,39.61909050547454,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
390,428,39.619021318344906,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
410,406,49.599725644826385,CBA,RL,0.0,COMPLETE,Lennar - Columnbine Square
380,997,27.548390610902782,CBA,GA,3.5,COMPLETE,Brinkman - Marshall Pointe
170,405,41.558329165532406,DCR,RL,123.5,COMPLETE,Garrett -Banyan High Point
330,395,42.76136027236111,DR,RL,9.8,COMPLETE,Brinkmann - Aspendale Littleton Senior
320,337,53.941205396516196,DCR,DR,25.2,COMPLETE,Thompson Thrift - Landing at Lemay
380,259,92.64907563899305,CBA,GA,12.8,COMPLETE,Brinkman - Marshall Pointe
410,507,3.564417702233796,DCR,RL,0.5,COMPLETE,Lennar - Columnbine Square
390,417,33.52982812386574,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
390,418,32.52987511189815,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
380,260,105.54830950031251,CBA,GA,16.1,COMPLETE,Brinkman - Marshall Pointe
440,482,28.85530001271991,DCR,RL,4.0,COMPLETE,Evergreen - Outlook Green Valley Ranch
500,547,8.555807154953705,DTS,GA,3.0,COMPLETE,Brinkman - Novel Flatiron
440,387,56.68760971578703,DCR,RL,10.0,COMPLETE,Evergreen - Outlook Green Valley Ranch
390,333,77.7213013233912,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
400,368,7.560802593645834,SDO,RL,54.0,COMPLETE,Mountain West Contractors - Fieldhouse (Idaho Springs)
400,998,64.56094683556712,DCR,RL,117.0,COMPLETE,Mountain West Contractors - Fieldhouse (Idaho Springs)
390,345,70.72133009582176,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
340,229,76.77912447315973,DCR,DR,112.5,COMPLETE,AMLI - Littleton Village II
480,294,51.55270156994213,DEP,GA,35.7,COMPLETE,Wood Partners - Alta Flatirons
440,310,45.56509961628472,DCR,RL,0.9,COMPLETE,Evergreen - Outlook Green Valley Ranch
900,485,14.569159859525461,DCR,RL,1.3,COMPLETE,Arlington - Velo Interlocken
550,469,27.58252732671296,DCR,DR,26.7,COMPLETE,New Generation Construction - 4th St. North
410,319,71.52382188302083,DCR,RL,6.0,COMPLETE,Lennar - Columnbine Square
500,438,43.51332606721065,CBA,GA,31.5,COMPLETE,Brinkman - Novel Flatiron
330,458,26.77551546033565,DCR,RL,0.6,COMPLETE,Brinkmann - Aspendale Littleton Senior
900,487,14.569204366134258,DCR,RL,2.5,COMPLETE,Arlington - Velo Interlocken
480,495,8.554497659930556,DEP,GA,0.0,COMPLETE,Wood Partners - Alta Flatirons
440,321,89.68768948150463,DCR,RL,4.5,COMPLETE,Evergreen - Outlook Green Valley Ranch
440,320,89.68766737163195,DCR,RL,1.6,COMPLETE,Evergreen - Outlook Green Valley Ranch
400,372,5.560875128472222,SDO,RL,61.7,COMPLETE,Mountain West Contractors - Fieldhouse (Idaho Springs)
370,286,97.6631172195949,RJA,GA,5.7,COMPLETE,Fairfield Development - Vista Highlands
410,V181,69.6847948129977,RL,RL,0.5,COMPLETE,Lennar - Columnbine Square
440,347,75.68776526491898,CBA,RL,1.3,COMPLETE,Evergreen - Outlook Green Valley Ranch
440,212,128.5620967928125,CBA,RL,0.0,COMPLETE,Evergreen - Outlook Green Valley Ranch
400,352,44.76883858888888,DCR,RL,39.8,COMPLETE,Mountain West Contractors - Fieldhouse (Idaho Springs)
400,392,56.6235018249074,DCR,RL,2.5,COMPLETE,Mountain West Contractors - Fieldhouse (Idaho Springs)
330,394,41.76138439671296,DCR,RL,17.1,COMPLETE,Brinkmann - Aspendale Littleton Senior
340,V918,56.54237573568287,DR,DR,5.0,COMPLETE,AMLI - Littleton Village II
500,166,104.54549397335649,DCR,GA,1.0,COMPLETE,Brinkman - Novel Flatiron
900,414,50.5156085306713,DCR,RL,2.9,COMPLETE,Arlington - Velo Interlocken
410,455,38.51452840107638,DCR,RL,5.0,COMPLETE,Lennar - Columnbine Square
170,348,77.51410277258101,DCR,RL,1.5,COMPLETE,Garrett -Banyan High Point
440,312,52.60472725409722,DCR,RL,0.9,COMPLETE,Evergreen - Outlook Green Valley Ranch
330,465,21.77556981834491,DCR,RL,0.6,COMPLETE,Brinkmann - Aspendale Littleton Senior
480,493,17.593073114918983,DCR,GA,25.0,COMPLETE,Wood Partners - Alta Flatirons
390,427,41.618953014560184,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
410,467,34.56144377107639,DCR,RL,6.0,COMPLETE,Lennar - Columnbine Square
560,459,23.55745373283565,CBA,GA,5.3,COMPLETE,Wood Partners - Alta Metro Center
500,175,104.54557376570601,DCR,GA,1.0,COMPLETE,Brinkman - Novel Flatiron
440,476,22.605288040972223,DCR,RL,8.0,COMPLETE,Evergreen - Outlook Green Valley Ranch
190,475,16.58636750659722,CBA,GA,24.0,COMPLETE,Hinton - Metro Center
480,V547,9.553698078530092,GA,GA,5.0,COMPLETE,Wood Partners - Alta Flatirons
500,149,117.54539361810184,CBA,GA,48.25,COMPLETE,Brinkman - Novel Flatiron
170,393,41.762160339062504,DCR,RL,4.5,COMPLETE,Garrett -Banyan High Point
500,338,36.54576784225694,DCR,GA,38.8,READY_TO_SHIP,Brinkman - Novel Flatiron
410,207,30.56206464659722,CBA,RL,1.5,COMPLETE,Lennar - Columnbine Square
380,477,22.59088877877315,DTS,GA,0.0,COMPLETE,Brinkman - Marshall Pointe
440,269,89.6173426284838,CBA,RL,6.7,COMPLETE,Evergreen - Outlook Green Valley Ranch
410,V862,36.51479800548611,RL,RL,1.5,COMPLETE,Lennar - Columnbine Square
440,V766,92.68749016445602,RL,RL,1.5,COMPLETE,Evergreen - Outlook Green Valley Ranch
440,311,52.604694457847216,DCR,RL,1.8,COMPLETE,Evergreen - Outlook Green Valley Ranch
480,434,45.512333813865745,DCR,GA,0.0,COMPLETE,Wood Partners - Alta Flatirons
420,500,7.543512931597222,DCR,DR,0.3,COMPLETE,Thompson Thrift - The Stacks at Wheat Ridge
440,443,41.68758473398148,CBA,RL,1.3,COMPLETE,Evergreen - Outlook Green Valley Ranch
320,V738,39.94144669258102,DR,DR,2.0,COMPLETE,Thompson Thrift - Landing at Lemay
440,V734,98.68751414923612,RL,RL,1.5,COMPLETE,Evergreen - Outlook Green Valley Ranch
320,246,78.7673345728125,CBA,DR,9.9,COMPLETE,Thompson Thrift - Landing at Lemay
550,472,17.58257206224537,CBA,DR,5.0,COMPLETE,New Generation Construction - 4th St. North
450,344,50.57983234173611,CBA,DR,71.3,COMPLETE,Marrow - Sandstone Ranch
500,156,116.54545295278936,DCR,GA,11.0,COMPLETE,Brinkman - Novel Flatiron
160,V603,56.54502355334491,DR,DR,,COMPLETE,Brinkmann - Wind Crest RB3.5
340,V554,28.66191541267361,DR,DR,,COMPLETE,AMLI - Littleton Village II
500,324,53.54569783195602,DCR,GA,1.0,COMPLETE,Brinkman - Novel Flatiron
546,161,83.54716790424769,DEP,,5.3999999999999995,COMPLETE,Carmel Window Safety Rails
570,303,57.547239992083334,WDO,0,0.0,COMPLETE,Superior Decks Install
170,350,77.51414945674767,DCR,RL,6.6,COMPLETE,Garrett -Banyan High Point
400,391,56.62346638149306,DCR,RL,30.0,COMPLETE,Mountain West Contractors - Fieldhouse (Idaho Springs)
170,397,41.76159324678241,DCR,RL,2.8,COMPLETE,Garrett -Banyan High Point
575,402,56.51397051578704,DTS,GA,25.0,COMPLETE,Brinkmann - Falcon Commerce
480,435,45.5124166975463,DCR,GA,0.0,COMPLETE,Wood Partners - Alta Flatirons
370,415,48.66321765832176,DTS,GA,2.0,COMPLETE,Fairfield Development - Vista Highlands
500,422,48.51326829824074,DCR,GA,47.5,COMPLETE,Brinkman - Novel Flatiron
390,419,32.52991040707176,CBA,RL,21.3,COMPLETE,Thompson Thrift - Heritage on Hover
440,416,48.68779870409722,DCR,RL,6.0,COMPLETE,Evergreen - Outlook Green Valley Ranch
999,V650,158.51766250534723,WO,WO,1.0,COMPLETE,Walk in Colton
999,599,250.53451739627317,CBA,WO,2.0,COMPLETE,Aqua Hot
420,V922,106.86096033689815,DR,DR,1.0,COMPLETE,Thompson Thrift - The Stacks at Wheat Ridge
380,257,98.64905004938657,CBA,GA,13.3,COMPLETE,Brinkman - Marshall Pointe
500,457,37.513869386469906,DEP,GA,3.0,COMPLETE,Brinkman - Novel Flatiron
550,464,37.511733535578706,DEP,DR,3.8,COMPLETE,New Generation Construction - 4th St. North
480,437,44.512898451944444,DCR,GA,25.0,COMPLETE,Wood Partners - Alta Flatirons
410,447,44.51447989175926,DCR,RL,5.0,COMPLETE,Lennar - Columnbine Square
