job,release,job_name,description,stage,trello_list,trello_card_id,trello_card_url,created_at
170,456,Garrett -Banyan High Point,Bld 6 East Exterior Stair Rail,Welded,Fit Up Complete.,69cc69e718ddfa8f94aa5906,https://trello.com/c/hnB27ut7/7067-170-456-garrett-banyan-high-point-bld-6-east-exterior-stair-rail,2026-03-31T18:42:29
170,460,Garrett -Banyan High Point,Bld 3&6 Site Ramp Rail,Cut start,Released,69cc6c66376ffc5f7b076200,https://trello.com/c/RavEm3aI/7070-170-460-garrett-banyan-high-point-bld-36-site-ramp-rail,2026-03-31T18:53:14
170,461,Garrett -Banyan High Point,Bld 6 Westside Exterior Rail,Cut start,Released,69cc6c8a5881cd711c25fe30,https://trello.com/c/1Vbsf6lm/7072-170-461-garrett-banyan-high-point-bld-6-westside-exterior-rail,2026-03-31T18:53:59
170,462,Garrett -Banyan High Point,Main Entrance Ramp Rails,Cut start,Released,69cc6cbf830ee186d82305c4,https://trello.com/c/he0GTEF9/7074-170-462-garrett-banyan-high-point-main-entrance-ramp-rails,2026-03-31T18:54:52
170,463,Garrett -Banyan High Point,Bld 2 Eastside Exterior Stair Rail,Cut start,Released,69cc6cfdfd2c447758ba518b,https://trello.com/c/upqYILhT/7076-170-463-garrett-banyan-high-point-bld-2-eastside-exterior-stair-rail,2026-03-31T18:55:52
190,484,Hinton - Metro Center,Bld 4 North Stoop Stairs,Released,Released,69cc6d4370f96f06808c1459,https://trello.com/c/lt5V8g96/7078-190-484-hinton-metro-center-bld-4-north-stoop-stairs,2026-03-31T18:57:10
340,869,AMLI - Littleton Village II,CO#13 Misc. Steel Fixes,Shipping completed,Shipping completed,69cc6e5993bdb51d4f551753,https://trello.com/c/Kb1enrh6/7080-340-869-amli-littleton-village-ii-co13-misc-steel-fixes,2026-03-31T19:01:30
370,470,Fairfield Development - Vista Highlands,Trellis B,Released,Released,69cc6e86989e2e96d8db37a6,https://trello.com/c/QJMFtnTF/7082-370-470-fairfield-development-vista-highlands-trellis-b,2026-03-31T19:02:35
380,477,Brinkman - Marshall Pointe,RFI #317 - Garage Canopy,Released,Released,69cc6ec6850d2d823e4004f6,https://trello.com/c/2SERDJyq/7084-380-477-brinkman-marshall-pointe-rfi-317-garage-canopy,2026-03-31T19:03:35
380,997,Brinkman - Marshall Pointe,Coulmns at Garage Entry,Released,Released,69cc6efac3cd67e0d262d3fa,https://trello.com/c/EQpg0VmN/7086-380-997-brinkman-marshall-pointe-coulmns-at-garage-entry,2026-03-31T19:04:27
380,V606,Brinkman - Marshall Pointe,Garage Screen Slip Top Cap,Released,Released,69cc6f25f7b10d3949fcd8a4,https://trello.com/c/ZFAQBDyG/7088-380-v606-brinkman-marshall-pointe-garage-screen-slip-top-cap,2026-03-31T19:05:09
410,467,Lennar - Columnbine Square,Bld 2 Stair Core Ledger Angle,Welded,Fit Up Complete.,69cc6f4eada0d4c21f07d74f,https://trello.com/c/y3H9oasx/7090-410-467-lennar-columnbine-square-bld-2-stair-core-ledger-angle,2026-03-31T19:05:46
410,491,Lennar - Columnbine Square,Bld 1 Extentions,Released,Released,69cc6f8edccf97ee0a17b605,https://trello.com/c/mwo0IhXp/7093-410-491-lennar-columnbine-square-bld-1-extentions,2026-03-31T19:06:53
410,V862,Lennar - Columnbine Square,Missing SC4.2 Column,Shipping completed,Shipping completed,69cc7015da70edf219e59521,https://trello.com/c/7W2ekAFL/7095-410-v862-lennar-columnbine-square-missing-sc42-column,2026-03-31T19:08:50
420,424,Thompson Thrift - The Stacks at Wheat Ridge,Bld 1 Stair 2,Paint complete,Paint complete,69cc70331ad45936683e14cf,https://trello.com/c/sKiG8kju/7097-420-424-thompson-thrift-the-stacks-at-wheat-ridge-bld-1-stair-2,2026-03-31T19:09:20
420,466,Thompson Thrift - The Stacks at Wheat Ridge,Bld 2 Stairs 1&2,Cut start,Released,69cc7056b3547cb9c7b49a8e,https://trello.com/c/bG9RtVg7/7099-420-466-thompson-thrift-the-stacks-at-wheat-ridge-bld-2-stairs-12,2026-03-31T19:10:11
440,439,Evergreen - Outlook Green Valley Ranch,Bld 5 Utility Room Gates,Cut start,Released,69cc707a5434a4e5f300b042,https://trello.com/c/8eoDv1EB/7101-440-439-evergreen-outlook-green-valley-ranch-bld-5-utility-room-gates,2026-03-31T19:10:54
440,450,Evergreen - Outlook Green Valley Ranch,Bld 3 Site Ramp Rail,Released,Released,69cc70a8cb7fced8f5bccccc,https://trello.com/c/sncKfHtl/7103-440-450-evergreen-outlook-green-valley-ranch-bld-3-site-ramp-rail,2026-03-31T19:11:41
440,451,Evergreen - Outlook Green Valley Ranch,Bld 2 retaining wall Ultralox Rail,Released,Released,69cc7105a69f8bbdf628efb1,https://trello.com/c/Iy2UbNsS/7105-440-451-evergreen-outlook-green-valley-ranch-bld-2-retaining-wall-ultralox-rail,2026-03-31T19:13:09
440,452,Evergreen - Outlook Green Valley Ranch,Bld 2 Site Ramp Rail,Released,Released,69cc7130d9a3e638f43f89b3,https://trello.com/c/jMP1IPSA/7107-440-452-evergreen-outlook-green-valley-ranch-bld-2-site-ramp-rail,2026-03-31T19:13:54
440,476,Evergreen - Outlook Green Valley Ranch,Clubhouse Site Rails,Released,Released,69cc715b4c34a5eee8556844,https://trello.com/c/gcxTuJvb/7109-440-476-evergreen-outlook-green-valley-ranch-clubhouse-site-rails,2026-03-31T19:14:39
440,482,Evergreen - Outlook Green Valley Ranch,Bld 2&5 Stair Wings Extensions,Released,Released,69cc7183fb720dc83a48cd79,https://trello.com/c/dbF6jIoA/7111-440-482-evergreen-outlook-green-valley-ranch-bld-25-stair-wings-extensions,2026-03-31T19:15:13
440,483,Evergreen - Outlook Green Valley Ranch,Pool Deck Escutcheon Plates,Released,Released,69cc71ab984e1bee3919f5dd,https://trello.com/c/DG1yotJD/7113-440-483-evergreen-outlook-green-valley-ranch-pool-deck-escutcheon-plates,2026-03-31T19:15:58
440,486,Evergreen - Outlook Green Valley Ranch,Trash Enclosure B,Released,Released,69cc71ff801df5a46b90c295,https://trello.com/c/Q67b9U5y/7115-440-486-evergreen-outlook-green-valley-ranch-trash-enclosure-b,2026-03-31T19:17:17
440,489,Evergreen - Outlook Green Valley Ranch,Trash Enclosure C,Released,Released,69cc72470562876a77373941,https://trello.com/c/ioWofx0W/7117-440-489-evergreen-outlook-green-valley-ranch-trash-enclosure-c,2026-03-31T19:18:31
440,490,Evergreen - Outlook Green Valley Ranch,Trash Enclosure D,Released,Released,69cc72a8c9f559ece8999544,https://trello.com/c/CSXN9C0g/7119-440-490-evergreen-outlook-green-valley-ranch-trash-enclosure-d,2026-03-31T19:20:09
500,449,Brinkman - Novel Flatiron,Amenity Steel,Released,Released,69cc738865778535d81ab5eb,https://trello.com/c/O7dPqW7H/7121-500-449-brinkman-novel-flatiron-amenity-steel,2026-03-31T19:23:55
500,457,Brinkman - Novel Flatiron,Amenity Steel Embeds,Shipping completed,Shipping completed,69cc73bf00fa33a3d637dd12,https://trello.com/c/VLYxsUio/7123-500-457-brinkman-novel-flatiron-amenity-steel-embeds,2026-03-31T19:24:28
530,468,Shaw - East Oak Townhomes,Mock up Kneewall & Parapet Rails,Released,Released,69cc73ce5dc4ea8cd9c41422,https://trello.com/c/O4VCcajB/7125-530-468-shaw-east-oak-townhomes-mock-up-kneewall-parapet-rails,2026-03-31T19:25:04
550,464,550 4th Street North,Building A Structural Steel Columns & Beams Embed,Shipping completed,Shipping completed,69cc73f3184976d753474d97,https://trello.com/c/LGh5lwyF/7127-550-464-550-4th-street-north-building-a-structural-steel-columns-beams-embed,2026-03-31T19:25:16
550,469,New Generation Conctruction - 4th St North,Bld A Underside PT Slab Connection To Basement Wall Embeds And Angles,Shipping completed,Shipping completed,69cc7407da0144c4e3bdf08b,https://trello.com/c/QaYGlQbM/7129-550-469-new-generation-conctruction-4th-st-north-bld-a-underside-pt-slab-connection-to-basement-wall-embeds-and-angles,2026-03-31T19:25:40
550,472,New Gen Construction - 4th Street,CO#03 Elevator Flat Bars,Released,Released,69cc74201154a369da999746,https://trello.com/c/vsU6FC47/7131-550-472-new-gen-construction-4th-street-co03-elevator-flat-bars,2026-03-31T19:26:24
560,459,Wood Partners - Alta Metro Center,Bld A Structural Embeds,Released,Released,69cc7443967eec8583377cb1,https://trello.com/c/CYw1EWQo/7133-560-459-wood-partners-alta-metro-center-bld-a-structural-embeds,2026-03-31T19:27:01
900,485,Arlington - Velo Interlocken,Bld 5 Westside Site Rail,Released,Released,69cc7468c31191e6ae1d781f,https://trello.com/c/zzLHaNXq/7135-900-485-arlington-velo-interlocken-bld-5-westside-site-rail,2026-03-31T19:27:47
900,487,Arlington - Velo Interlocken,Bld 4 Eastside Site Rail,Released,Released,69cc749f6f78566cadf005cd,https://trello.com/c/AghFPc5m/7137-900-487-arlington-velo-interlocken-bld-4-eastside-site-rail,2026-03-31T19:28:36
