"Account #","Contract #","Job #","Job_Location","Ordered By","PO_Number","Equipment Type","Equipment #","Make","Model","Quantity","Est Return Date","Day Rate","Week Rate","4 Week Rate","Billed Through","Date Rented"
"519027","180987900","1 - ALTA FLATIRONS","350 GATEWAY DR, SUPERIOR","FERRIN, DOUG","480","150-0746 LONG FORKS SET OF 2  - TELEHANDLERS","FORKSLTELH","","","1","3/16/2026","$0.00","$0.00","$0.00","6/1/2026","3/9/2026"
"519027","180987900","1 - ALTA FLATIRONS","350 GATEWAY DR, SUPERIOR","FERRIN, DOUG","480","056-0626 10K 55' HVAC TELEHANDLER FORKLIFT","11301356","JCB","51056","1","3/16/2026","$560.00","$1,495.00","$3,050.00","6/1/2026","3/9/2026"
"519027","184625948","1 - ALTA FLATIRONS","350 GATEWAY DR, SUPERIOR","FERRIN, DOUG","480","007-0029 30-33' ELECT SCISSOR NARROW","10148145","GENIE","GS3232","1","6/30/2026","$190.00","$415.00","$775.00","6/30/2026","6/2/2026"
"519027","184625948","1 - ALTA FLATIRONS","350 GATEWAY DR, SUPERIOR","FERRIN, DOUG","480","007-0029 30-33' ELECT SCISSOR NARROW","10231583","GENIE","GS3232","1","6/30/2026","$190.00","$415.00","$775.00","6/30/2026","6/2/2026"
"519027","173709366","1 - BANYAN HIGH POIN","22050 E 64TH AVE, AURORA","FERRIN, DOUG","170","056-0330 6K-7K 42' TELEHANDLER FORKLIFT","868223","SKYTRAK","6042","1","10/1/2025","$365.00","$915.00","$1,775.00","6/10/2026","9/3/2025"
"519027","184623765","1 - CAPITAL HILL","655 N PEARL ST, DENVER","FERRIN, DOUG","490","150-0289 14' CONCRETE SCREED BLADE","14CONBLADE","","","1","6/29/2026","$7.00","$19.00","$51.00","","6/1/2026"
"519027","184623765","1 - CAPITAL HILL","655 N PEARL ST, DENVER","FERRIN, DOUG","490","056-0230 5.5K 19' TELEHANDLER FORKLIFT","10195084","GENIE","GTH5519","1","6/29/2026","$295.00","$795.00","$1,685.00","","6/1/2026"
"519027","179355429","1 - HERITAGE ON HOVE","10147 HOVER ST, LONGMONT","FERRIN, DOUG","390","056-0335 6K-7K 42' CAB TELEHANDLER FORKLIFT","1021408","SKYTRAK","6042","1","2/2/2026","$365.00","$915.00","$1,775.00","6/15/2026","1/26/2026"
"519027","182382159","1 - NOVEL FLATIRON","81 W FLATIRON CROSSING DR, BROOMFIELD","FERRIN, DOUG","500","056-0446 8K 66' HVAC TELEHANDLER FORKLIFT","10180018","JCB","50866","1","5/8/2026","$580.00","$1,610.00","$4,305.00","6/5/2026","4/10/2026"
"519027","183525109","1 - NOVEL FLATIRON","81 W FLATIRON CROSSING DR, BROOMFIELD","FERRIN, DOUG","500","058-0823 85' STR MANLIFT W/JIB","10372841","JLG","860SJ","1","6/3/2026","$710.00","$1,940.00","$3,825.00","6/3/2026","5/6/2026"
"519027","184727102","1 - NOVEL FLATIRON","81 W FLATIRON CROSSING DR, BROOMFIELD","FERRIN, DOUG","500","058-0624 60' STR MANLIFT","11243800","JLG","600S","1","7/1/2026","$410.00","$1,155.00","$2,225.00","","6/3/2026"
"519027","184641533","1 - OAK HIL","220 E OAK ST, FORT COLLINS","FERRIN, DOUG","520","056-0230 5.5K 19' TELEHANDLER FORKLIFT","10202345","JCB","50520","1","6/30/2026","$295.00","$795.00","$1,685.00","","6/2/2026"
"519027","172126495","1 - SANDSTONE RANCH","2020 ZLATEN DR, LONGMONT","FERRIN, DOUG","450","056-0626 10K 55' HVAC TELEHANDLER FORKLIFT","11136353","JCB","51056","1","10/20/2026","$560.00","$1,495.00","$3,050.00","6/1/2026","7/28/2025"
"519027","184226854","1 - SANDSTONE RANCH","2020 ZLATEN DR, LONGMONT","FERRIN, DOUG","450","058-0626 65' STR MANLIFT W/JIB","10271755","JLG","660SJ","1","6/19/2026","$410.00","$1,155.00","$2,225.00","6/19/2026","5/22/2026"
"519027","184275898","2 - LITTLETON VILLAG","101 VILLAGE PARK DR, LITTLETON","FERRIN, DOUG","340","056-0416 8K-9K 42' HVAC TELEHANDLER FORKLIFT","10033429","JCB","50942","1","6/23/2026","$415.00","$1,165.00","$2,205.00","6/23/2026","5/26/2026"
"519027","184275921","2 - LITTLETON VILLAG","101 VILLAGE PARK DR, LITTLETON","FERRIN, DOUG","340","058-0626 65' STR MANLIFT W/JIB","1049953","GENIE","S65","1","6/23/2026","$410.00","$1,155.00","$2,225.00","6/23/2026","5/26/2026"
"519027","183880601","COLUMBINE","5201 S FEDERAL BLVD, LITTLETON","FERRIN, DOUG","410","007-0011 25-26' ELECT SCISSOR NARROW","11393890","JLG","ES2632","1","6/11/2026","$155.00","$335.00","$695.00","6/11/2026","5/14/2026"
"519027","183871154","COLUMBINE","5201 S FEDERAL BLVD, LITTLETON","FERRIN, DOUG","410","007-0011 25-26' ELECT SCISSOR NARROW","11438511","GENIE","GS2632 E-DRIVE","1","6/11/2026","$155.00","$335.00","$695.00","6/11/2026","5/14/2026"
"519027","184074603","COLUMBINE","5201 S FEDERAL BLVD, LITTLETON","FERRIN, DOUG","410","150-0746 LONG FORKS SET OF 2  - TELEHANDLERS","FORKSLTELH","","","1","6/16/2026","$0.00","$0.00","$0.00","6/16/2026","5/19/2026"
"519027","184074603","COLUMBINE","5201 S FEDERAL BLVD, LITTLETON","FERRIN, DOUG","410","056-0410 8K-9K 42' TELEHANDLER FORKLIFT","11205230","SKYTRAK","8042","1","6/16/2026","$415.00","$1,165.00","$2,205.00","6/16/2026","5/19/2026"
"519027","183188773","VISTA","1151 SPRING PL, BROOMFIELD","FERRIN, DOUG","370","056-0335 6K-7K 42' CAB TELEHANDLER FORKLIFT","10668866","JLG","742","1","5/27/2026","$365.00","$915.00","$1,775.00","6/24/2026","4/29/2026"
